date,timestamp,fear_greed_value,fear_greed_classification
2020-04-18 19:00:00,1587254400,16,Extreme Fear
2020-04-19 19:00:00,1587340800,15,Extreme Fear
2020-04-20 19:00:00,1587427200,17,Extreme Fear
2020-04-21 19:00:00,1587513600,19,Extreme Fear
2020-04-22 19:00:00,1587600000,19,Extreme Fear
2020-04-23 19:00:00,1587686400,20,Extreme Fear
2020-04-24 19:00:00,1587772800,24,Extreme Fear
2020-04-25 19:00:00,1587859200,21,Extreme Fear
2020-04-26 19:00:00,1587945600,28,Fear
2020-04-27 19:00:00,1588032000,26,Fear
2020-04-28 19:00:00,1588118400,26,Fear
2020-04-29 19:00:00,1588204800,44,Fear
2020-04-30 19:00:00,1588291200,40,Fear
2020-05-01 19:00:00,1588377600,40,Fear
2020-05-02 19:00:00,1588464000,45,Fear
2020-05-03 19:00:00,1588550400,44,Fear
2020-05-04 19:00:00,1588636800,40,Fear
2020-05-05 19:00:00,1588723200,42,Fear
2020-05-06 19:00:00,1588809600,49,Neutral
2020-05-07 19:00:00,1588896000,55,Greed
2020-05-08 19:00:00,1588982400,56,Greed
2020-05-09 19:00:00,1589068800,48,Neutral
2020-05-10 19:00:00,1589155200,40,Fear
2020-05-11 19:00:00,1589241600,39,Fear
2020-05-12 19:00:00,1589328000,41,Fear
2020-05-13 19:00:00,1589414400,40,Fear
2020-05-14 19:00:00,1589500800,44,Fear
2020-05-15 19:00:00,1589587200,41,Fear
2020-05-16 19:00:00,1589673600,40,Fear
2020-05-17 19:00:00,1589760000,50,Neutral
2020-05-18 19:00:00,1589846400,50,Neutral
2020-05-19 19:00:00,1589932800,52,Neutral
2020-05-20 19:00:00,1590019200,49,Neutral
2020-05-21 19:00:00,1590105600,42,Fear
2020-05-22 19:00:00,1590192000,40,Fear
2020-05-23 19:00:00,1590278400,43,Fear
2020-05-24 19:00:00,1590364800,41,Fear
2020-05-25 19:00:00,1590451200,39,Fear
2020-05-26 19:00:00,1590537600,39,Fear
2020-05-27 19:00:00,1590624000,41,Fear
2020-05-28 19:00:00,1590710400,48,Neutral
2020-05-29 19:00:00,1590796800,48,Neutral
2020-05-30 19:00:00,1590883200,51,Neutral
2020-05-31 19:00:00,1590969600,50,Neutral
2020-06-01 19:00:00,1591056000,56,Greed
2020-06-02 19:00:00,1591142400,48,Neutral
2020-06-03 19:00:00,1591228800,54,Neutral
2020-06-04 19:00:00,1591315200,53,Neutral
2020-06-05 19:00:00,1591401600,54,Neutral
2020-06-06 19:00:00,1591488000,54,Neutral
2020-06-07 19:00:00,1591574400,53,Neutral
2020-06-08 19:00:00,1591660800,52,Neutral
2020-06-09 19:00:00,1591747200,54,Neutral
2020-06-10 19:00:00,1591833600,52,Neutral
2020-06-11 19:00:00,1591920000,38,Fear
2020-06-12 19:00:00,1592006400,38,Fear
2020-06-13 19:00:00,1592092800,40,Fear
2020-06-14 19:00:00,1592179200,37,Fear
2020-06-15 19:00:00,1592265600,39,Fear
2020-06-16 19:00:00,1592352000,38,Fear
2020-06-17 19:00:00,1592438400,40,Fear
2020-06-18 19:00:00,1592524800,39,Fear
